"racedayid";"raceclassid";"heat";"lane1";"lane2";"lane3"
1335;2;1;"2011.sdc.WD";"2011.cia.WC";
1335;2;2;"2011.pioneers.WA";"2011.pika.WC";"2011.fringe.WB"
1335;2;3;"2011.spirit.WA";"2011.sdc.WC";"2011.cia.WB"
1335;2;4;"2011.pika.WA";"2011.sigep.WB";"2011.fringe.WC"
1335;2;5;"2011.sdc.WB";"2011.cia.WA";"2011.aepi.WA"
1335;2;6;"2011.fringe.WA";"2011.sae.WA";"2011.spirit.WB"
1335;2;7;"2011.sdc.WA";"2011.pika.WB";"2011.sigep.WA"
1335;1;1;"2011.spirit.MB";"2011.sigep.MD";"2011.cia.MD"
1335;1;2;"2011.fringe.MB";"2011.pika.MD";"2011.sigep.MC"
1335;1;3;"2011.sdc.MC";"2011.spirit.MC";"2011.sae.MA"
1335;1;4;"2011.pika.MB";"2011.cia.MB";"2011.spirit.MD"
1335;1;5;"2011.sdc.MB";"2011.fringe.MC";"2011.aepi.MB"
1335;1;6;"2011.sigep.MA";"2011.pika.MC";"2011.cia.MC"
1335;1;7;"2011.spirit.MA";"2011.kapsig.MA";
1335;1;8;"2011.pika.MA";"2011.sdc.MD";"2011.pioneers.MA"
1335;1;9;"2011.fringe.MA";"2011.sn.MA";"2011.aepi.MA"
1335;1;10;"2011.sdc.MA";"2011.cia.MA";"2011.sigep.MB"
